<<<<<<< Updated upstream
"WCID","NAME","COUNTRY","LAT","LONG","ALT"
997,"100 Mile House, Bc","CANADA",51.65,-121.3,1059
1004,"A. De Pasajeros","CUBA",22.35,-80.816,22
1005,"A. La Union","DOMINICAN REPUBLIC",19.75,-70.5667,5
1007,"Aachen","GERMANY",50.783,6.1,205
1010,"Aayanbulag","MONGOLIA",46.833,98.083,2255
1014,"Abadan","IRAN, ISLAMIC REPUBLIC OF",30.366,48.25,11
1019,"Abag Qi","CHINA",44.02,114.95,1128
1060,"Abde","LEBANON",34.516,36,15
1063,"Abeche","CHAD",13.85,20.85,549
1073,"Abercorn","ZAMBIA",-8.783,31.366,1658
1082,"Aberdeen","UNITED STATES",33.835,-88.52,60
1083,"Aberdeen","UNITED STATES",46.97,-123.82,3
1085,"Aberdeen 20 Nne","UNITED STATES",47.266,-123.7,133
1090,"Aberdeen Phillips Fld","UNITED STATES",39.466,-76.166,17
1098,"Aberporth","UNITED KINGDOM",52.133,-4.566,133
1104,"Abha","SAUDI ARABIA",18.233,42.65,2093
1109,"Abidjan","COTE D'IVOIRE",5.25,-3.933,8
1115,"Abilene 2 W","UNITED STATES",38.916,-97.25,357
1116,"Abilene/Dyess Afb","UNITED STATES",32.43,-99.85,542
1118,"Abiquiu Dam","UNITED STATES",36.233,-106.433,1945
1121,"Abitibi Camp 230, On","CANADA",49.35,-89.37,457
1138,"Abrego Centro Ad","COLOMBIA",8.08,-73.23,1430
1145,"Abu","INDIA",24.666,72.816,1195
1150,"Abu Hamed","SUDAN",19.53,33.32,312
1153,"Abu Kamal","SYRIA",34.416,40.916,182
1154,"Abu Na'ama","SUDAN",12.733,34.133,445
1164,"Academy 2ne","UNITED STATES",43.51,-99.07,512
1165,"Acadia National Park","UNITED STATES",44.355,-68.27,143
1186,"Acarape","BRAZIL",-4.2,-38.7,76
1188,"Acarau","BRAZIL",-2.866,-40.12,7
1189,"Acari","BRAZIL",-6.416,-36.633,325
1192,"Acarigua","VENEZUELA",9.55,-69.233,226
1203,"Acatlan De Juare","MEXICO",20.43,-103.58,1366
1204,"Acatlan De Osori","MEXICO",18.19,-98.045,1200
1213,"Acayucan","MEXICO",17.94,-94.91,88
1216,"Accnococha","PERU",-13.05,-75.2,4520
1218,"Accra","GHANA",5.55,-0.22,59
1219,"Accra","GHANA",5.6,-0.166,69
1251,"Acipayam","TURKEY",37.4,29.4,941
1256,"Acopiara","BRAZIL",-6.083,-39.45,250
1264,"Acu","BRAZIL",-5.566,-36.883,68
1272,"Acuitzio Canje","MEXICO",19.48,-101.33,2070
1282,"Ad Dakhla","WESTERN SAHARA",23.72,-15.95,11
1283,"Ad Diwaniyah","IRAQ",31.98,44.93,6
1286,"Ada","GHANA",5.783,0.633,7
1289,"Ada","UNITED STATES",47.3,-96.52,278
1317,"Addis Ababa","ETHIOPIA",8.983,38.8,2324
1319,"Addis Abeba","ETHIOPIA",9.03,38.7,2408
1320,"Addis Zemen","ETHIOPIA",12.116,37.866,2020
1321,"Addison","UNITED STATES",42.1,-77.216,312
1322,"Addo","SOUTH AFRICA",-33.56,25.69,85
1324,"Adel","UNITED STATES",42.183,-119.9,1396
